<<<<<<< HEAD
"sample_id","v_mg_kg","cr_mg_kg","mn_mg_kg","fe_mg_kg","co_mg_kg","ni_mg_kg","cu_mg_kg","zn_mg_kg","as_mg_kg","se_mg_kg","mo_mg_kg","ag_mg_kg","cd_mg_kg","hg_mg_kg","pb_mg_kg","ca_mg_kg","na_mg_kg","k_mg_kg","mg_mg_kg","p_mg_kg","folat_mg_kg","cobalamin_mg_kg_mg_kg","date","location","type","days_processed","catch_source","local_name","latin_name"
"K_011","0.27","2.5000000000000001E-2","22","88","5.1999999999999998E-2","<0,3","2.5","170","0.78","1.2","0.11","<0,009","5.8999999999999997E-2","1.7999999999999999E-2","3.1E-2","30000","2500","12000","1500","22000",0.82,0.41,"20-01-2022","Kisumu","Sun-dried",1,"Uhanya beach","Omena","Rastrineobola argenteus"
"K_012","0.5","4.1000000000000002E-2","7.1","130","5.7000000000000002E-2","<0,2","2.1","100","0.23","0.78","<0,08","<0,008","2.8000000000000001E-2","1.0999999999999999E-2","4.9000000000000002E-2","29000","5500","9100","1200","19000",0.46,0.2,"20-01-2022","Kisumu","Fried",1,"Mandundu beach","Fulu","Haplochromines"
"K_013","0.46","6.3E-2","8.4","82","3.5000000000000003E-2","<0,3","2.4","160","0.24","1","<0,1","<0,01","3.5000000000000003E-2","1.4E-2","<0,02","51000","3200","13000","1700","31000",0.49,0.3,"20-01-2022","Kisumu","Sun-dried",1,"Uhanya beach","Fulu","Haplochromines"
"A_005","3.3","5.2","18","750","0.18","0.45","3.7","58","7.5","1.8","0.48","<0,009","0.24","2.3E-2","0.53","29000","12000","13000","2700","22000",0.89,0.35,"31-01-2022","Accra","Sun-dried",2,"Accra","Anchovy","Engraulis encrasicolus"
"A_009","5.8999999999999997E-2","8.3000000000000004E-2","3.8","190","4.5999999999999999E-2","<0,3","5.4","52","3.8","2.2000000000000002","<0,08","7.0999999999999994E-2","0.18","3.2000000000000001E-2","2.9000000000000001E-2","20000","5200","11000","1500","17000",0.61,0.32,"01-02-2022","Accra","Smoked",1,"Accra","Tuna fingerling",""
"A_010","0.56999999999999995","6.3E-2","7.4","79","3.2000000000000001E-2","<0,2","2.4","51","6.7","2.7","<0,08","<0,008","6.0999999999999999E-2","3.5999999999999997E-2","6.8000000000000005E-2","23000","4300","10000","1500","18000",0.13,0.19,"01-02-2022","Accra","Smoked",1,"Accra","Herring","Sardinella maderensis"
"A_011","8.1000000000000003E-2","8.6999999999999994E-2","2.8","83","5.8999999999999997E-2","<0,3","3","45","5.4","2","<0,09","<0,009","9.4E-2","2.1999999999999999E-2","3.2000000000000001E-2","45000","4300","12000","1800","29000",0.37,0.15,"01-02-2022","Accra","Smoked",1,"Accra","Horse mackerel","Trachurus sp."
"A_012","0.21","0.31","17","89","2.8000000000000001E-2","<0,2","1.9","56","2.2999999999999998","1.4","<0,08","<0,008","0.33","7.6999999999999999E-2","0.38","34000","4500","8800","1600","21000",0.25,0.043,"01-02-2022","Accra","Smoked",1,"Accra","Flying fish","Cheilopogon melanurus"
"A_016","3.5","3.8","28","940","0.31","0.6","6.3","74","6.7","1.7","0.36","<0,01","0.13","3.3000000000000002E-2","2.2000000000000002","38000","20000","12000","3300","25000",0.79,0.41,"02-02-2022","Accra","Sun-dried",3,"Accra","Anchovy","Engraulis encrasicolus"
"A_017","0.4","0.17","3.4","94","3.4000000000000002E-2","<0,2","3.7","44","12","2.9","<0,08","<0,008","2.1000000000000001E-2","6.0999999999999999E-2","6.0999999999999999E-2","15000","7300","17000","1700","16000",0.25,0.26,"02-02-2022","Accra","Smoked",2,"Cape Coast, Accra","Herring","Sardinella sp"
"A_018","0.95","0.73","11","680","9.1999999999999998E-2","<0,3","3.5","62","8.8000000000000007","3.5","0.19","1.2999999999999999E-2","0.12","3.9E-2","0.19","27000","9500","14000","2100","21000",0.38,0.12,"02-02-2022","Accra","Powder",2,"Cape Coast, Accra","Herring","Sardinella sp"
"V_001","9.9000000000000005E-2","6.9000000000000006E-2","28","34","2.5999999999999999E-2","<0,3","0.94","190","0.91","0.8","<0,1","<0,01","0.01","4.2000000000000003E-2","4.8000000000000001E-2","10000","8700","7000","820","9800",0.59,0.084,"03-02-2022","Lake Volta","Fried",0,"Lake Volta","One man thousand","Sierrathrissa leonensis"
"V_002","9.4E-2","3.9E-2","30","36","2.8000000000000001E-2","<0,3","1.1000000000000001","170","0.76","0.79","<0,09","<0,009","1.2999999999999999E-2","3.7999999999999999E-2","4.2000000000000003E-2","12000","6600","6600","800","9700",0.49,0.12,"03-02-2022","Lake Volta","Fried",1,"Lake Volta","One man thousand","Sierrathrissa leonensis"
"V_003","9.5000000000000001E-2","0.04","29","29","2.5000000000000001E-2","<0,3","1.1000000000000001","190","0.69","0.77","<0,09","<0,009","1.0999999999999999E-2","3.5999999999999997E-2","0.06","11000","6800","7300","820","10000",0.61,0.12,"03-02-2022","Lake Volta","Fried",1,"Lake Volta","One man thousand","Sierrathrissa leonensis"
=======
"sample_id","vitamin_d3_mg_kg","vitamin_a1_mg_kg","vitamin_a2_mg_kg","dry_matter_g_100g","protein_g_100g","v_mg_kg","cr_mg_kg","mn_mg_kg","fe_mg_kg","co_mg_kg","ni_mg_kg","cu_mg_kg","zn_mg_kg","as_mg_kg","se_mg_kg","mo_mg_kg","ag_mg_kg","cd_mg_kg","hg_mg_kg","pb_mg_kg","iodine_mg_kg","ca_mg_kg","na_mg_kg","k_mg_kg","mg_mg_kg","p_mg_kg","folat_mg_kg","cobalamin_mg_kg_mg_kg","date","location","type","days_processed","catch_source","local_name","latin_name"
"K_001_W","0.02",1.1,"0.31",22.5,16.1,"0.03","1.6E-2","4.8","12","7.0000000000000001E-3","<0,06","0.57999999999999996","42","0.21","0.25","0.03","<0,002","8.0000000000000002E-3","8.9999999999999993E-3","<0,005",0.17,"8300","470","2000","360","5500",0.18,0.1,"20-01-2022","Kisumu","Fresh",0,"Lake Victoria","Omena","Rastrineobola argenteus"
"K_002_W","0.01",0.7,"0.14000000000000001",20.8,15.1,"2.1999999999999999E-2","4.8000000000000001E-2","4.5999999999999996","26","1.2E-2","<0.06","0.66","46","0.14000000000000001","0.18","0.02","<0.002","5.0000000000000001E-3","8.0000000000000002E-3","5.0000000000000001E-3",0.14,"8300","410","1700","340","5300",0.19,0.12,"20-01-2022","Kisumu","Fresh",0,"Lake Victoria","Omena","Rastrineobola argenteus"
"K_003_W","7.0000000000000007E-2",1.7,"0.36",24.9,16.4,"5.2999999999999999E-2","3.1E-2","3.3","25","1.6E-2","<0,06","0.56000000000000005","35","4.5999999999999999E-2","0.21","0.03","<0,002","3.0000000000000001E-3","0.01","<0,005",0.13,"14000","750","2800","420","8000",0.22,0.08,"20-01-2022","Kisumu","Fresh",0,"Lake Victoria","Fulu","Haplochromines"
"A_001_W","0.34",2,"0.23",26.2,21,"1.2999999999999999E-2","8.9999999999999993E-3","0.79","31","8.0000000000000002E-3","<0,07","2","18","1.2","0.77","<0,02","2.7E-2","4.2000000000000003E-2","1.6E-2","<0,006",0.66,"7400","1600","3900","460","6100",0.82,0.12,"31-01-2022","Accra","Fresh",0,"Accra","Tuna fingerling",""
"A_002_W","0.13",2,"0.18",28.5,21,"2.1000000000000001E-2","1.7000000000000001E-2","0.98","24","1.9E-2","<0,08","1.1000000000000001","15","1.8","0.6","<0,03","<0,003","2.4E-2","7.0000000000000001E-3","<0,007",1.4,"8700","1500","3700","560","6500",0.32,0.074,"31-01-2022","Accra","Fresh",0,"Accra","Horse mackerel","Trachurus sp."
"A_003_W","0.1",0.18,"0.18",28.4,22,"0.28999999999999998","2.1000000000000001E-2","3.4","27","1.0999999999999999E-2","<0,07","0.93","19","3.1","1","<0,02","<0,002","2.1999999999999999E-2","1.0999999999999999E-2","2.5999999999999999E-2",0.34,"15000","1600","4200","630","10000",0.47,0.12,"31-01-2022","Accra","Fresh",0,"Accra","Herring","Sardinella maderensis"
"A_004_W","0.06",0.44,"2.5999999999999999E-2",24,17,"0.38","3.1E-2","4.5","32","2.3E-2","<0,07","1.3","18","2.5","0.5","0.04","<0,002","7.0000000000000007E-2","0.01","2.3E-2",0.51,"8700","1600","3700","620","6600",0.64,0.15,"31-01-2022","Accra","Fresh",0,"Accra","Anchovy","Engraulis encrasicolus"
"A_005_W","7.0000000000000007E-2",0.1,"6.0000000000000001E-3",34,21,"0.14000000000000001","1.6E-2","0.43","22","<0,008","<0,09","0.78","15","1.5","1.4","<0,03","<0,003","3.6999999999999998E-2","3.2000000000000001E-2","<0,008",1,"6100","1100","3600","420","5000",0.17,0.082,"31-01-2022","Accra","Fresh, gutted",0,"Accra","Mackerel","Scomberomorus tritor"
"A_006_W","0.12",1.5,"0.1",32,21,"0.22","0.01","0.5","28","1.0999999999999999E-2","<0,1","0.95","14","1.7","1.4","<0,03","<0,003","7.2999999999999995E-2","3.2000000000000001E-2","<0,008",0.97,"6900","1100","3500","430","5400",0.5,0.1,"31-01-2022","Accra","Fresh, gutted",0,"Accra","Mackerel","Scomberomorus tritor"
"A_007_W","0.23",1.7,"0.09",32,22,"9.6000000000000002E-2","8.0000000000000002E-3","0.59","27","1.0999999999999999E-2","<0,08","1.1000000000000001","17","1.7","1.4","<0,03","<0,003","5.2999999999999999E-2","4.8000000000000001E-2","1.2E-2",0.89,"6900","1300","3500","450","5300",0.27,0.12,"31-01-2022","Accra","Fresh, gutted",0,"Accra","Mackerel","Scomberomorus tritor"
"A_008_W","< 0.01",0.2,"6.0000000000000001E-3",25.8,19,"5.8000000000000003E-2","2.4E-2","7.3","12","5.0000000000000001E-3","<0,06","0.36","15","0.98","0.44","<0,02","<0,002","7.2999999999999995E-2","2.7E-2","5.3999999999999999E-2",0.18,"11000","1300","2600","510","6700",0.14,0.029,"31-01-2022","Accra","Fresh, gutted",0,"Accra","Flying fish","Cheilopogon melanurus"
"V_001_W","0.03",6.1,"43",19.3,13.8,"3.4000000000000002E-2","1.2E-2","11","9.5","8.0000000000000002E-3","<0,05","0.34","64","0.28000000000000003","0.28000000000000003","<0,02","<0,002","3.0000000000000001E-3","1.4999999999999999E-2","2.1999999999999999E-2",0.23,"3800","520","2800","300","3600",0.26,0.053,"03-02-2022","Lake Volta","Wet",0,"Lake Volta","One man thousand","Sierrathrissa leonensis"
"V_002_W","0.03",5.1,"34",18.8,13.2,"0.03","1.2999999999999999E-2","9.6","11","8.0000000000000002E-3","<0,04","0.33","60","0.3","0.3","0.01","<0,001","4.0000000000000001E-3","1.4E-2","1.4E-2",0.22,"3300","470","2500","260","3000",0.27,0.054,"03-02-2022","Lake Volta","Wet",0,"Lake Volta","One man thousand","Sierrathrissa leonensis"
>>>>>>> e2e9f6232a9c84fdeda369b5a8bb5ecd4fea18b8
